,duration,pitch_mean,pitch_std,energy,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_flatness,jitter,shimmer,hnr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Label,Age
count,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
mean,3.324087962962963,937.0735544444445,457.7483801234568,0.2390418804567901,0.19261231381611496,1089.4307262791367,765.1258423845586,1724.8522068362868,0.010614285398765431,0.006224886489095367,0.06876811577901983,17.769936878368593,-68.68269078641976,58.435466640123465,-46.666220069135804,-30.29229004382716,-0.1668423305802469,1.2184667457530864,-14.901791919753085,2.624315352469136,-7.329287572469136,-6.344896919616049,-12.972089909876544,-7.105223924345679,-5.614913261358025,0.49382716049382713,57.2641975308642
std,1.335175314513458,215.1868855221844,187.8436667358454,0.07813400565732535,0.05475667177509581,170.65042934590795,106.36918435657172,427.9984858407912,0.00673925452968393,0.0035390214179347452,0.03098107956614533,3.6557689438630363,43.82564724627827,27.422456122023753,19.64019107083494,20.362007757215864,15.027267898230415,11.228523395411777,9.877196828594737,8.293859924088746,11.01874263123177,8.873506231104429,7.173721102881664,8.2334593606415,7.361137936623036,0.5030769521187455,15.37178648239995
min,1.516125,484.61295,229.93246,0.07594445,0.0933314732142857,766.8854042073631,545.6264845236822,1032.3840725806451,0.0027363813,0.0020993152803432,0.0322992555672766,8.541946340865533,-182.89185,-20.999617,-81.38095,-79.25559,-46.139168,-27.118225,-36.44751,-22.05358,-33.41919,-25.886776,-26.544744,-25.042873,-25.987757,0.0,18.0
25%,2.267375,806.08374,341.34848,0.19203535,0.1565653483072916,954.3516308119998,687.3389005488726,1390.2994791666667,0.005568402,0.0038427998143726,0.0460682250588354,15.323074824924632,-91.51323,41.69845,-59.814205,-41.619473,-7.298873,-6.0644784,-21.378565,-2.6357815,-16.262514,-12.499595,-18.95874,-13.636948,-9.967671,0.0,44.0
50%,3.101875,877.50757,403.36542,0.23402716,0.1861139112903226,1078.6218256929574,746.4308273795318,1636.939858490566,0.008803837,0.0051554021276564,0.0598394755484689,18.382952014338677,-69.43238,58.411655,-49.187187,-30.002228,1.1093439,0.59495825,-15.408076,3.2146769,-7.6881814,-7.2840943,-14.2261095,-6.499647,-5.5021505,0.0,58.14
75%,4.007625,1005.1983,488.5872,0.2832823,0.2258749202806122,1197.04179794779,821.8480297363079,1988.59375,0.012466426,0.0076503066772832,0.0903192191911095,20.972062983597397,-39.513023,79.04099,-35.96045,-17.307438,9.843592,10.317805,-9.104207,7.4804506,0.5972877,-1.3732191,-8.185126,-1.1125212,-0.47192758,1.0,69.45
max,7.208,1622.8689,1110.3185,0.5079643,0.3934326171875,1589.4749343383935,1098.906961869597,3016.6790674603176,0.03659623,0.020186033623553,0.1895483957090813,23.14798577933409,15.402553,123.51201,26.256533,20.657621,31.247961,26.282011,15.597313,16.629612,19.821747,22.235464,5.67871,11.444866,17.892256,1.0,85.31
